Date,Close/Last,Volume,Open,High,Low
6/15/2018,$391.98 ,13569210,$390.71 ,$398.86 ,$387.51 
6/14/2018,$392.87 ,14549540,$384.27 ,$395.03 ,$383.25 
6/13/2018,$379.93 ,18186020,$367.53 ,$384.25 ,$364.11 
6/12/2018,$363.83 ,4220072,$363.60 ,$365.98 ,$362.00 
6/11/2018,$361.45 ,4415776,$361.88 ,$365.67 ,$360.91 
6/8/2018,$360.57 ,5222873,$358.06 ,$362.39 ,$356.25 
6/7/2018,$361.40 ,8260323,$368.54 ,$368.70 ,$357.80 
6/6/2018,$367.45 ,7700033,$367.78 ,$369.68 ,$363.33 
6/5/2018,$365.80 ,8346886,$363.32 ,$369.83 ,$361.41 
6/4/2018,$361.81 ,7662865,$362.69 ,$363.00 ,$355.51 
6/1/2018,$359.93 ,7102421,$353.88 ,$359.99 ,$352.82 
5/31/2018,$351.60 ,6906813,$353.80 ,$355.53 ,$350.21 
5/30/2018,$353.54 ,5658169,$352.37 ,$354.00 ,$349.26 
5/29/2018,$349.73 ,9700413,$351.50 ,$356.10 ,$346.71 
5/25/2018,$351.29 ,7801602,$349.90 ,$354.36 ,$348.83 
5/24/2018,$349.29 ,14493130,$344.34 ,$354.00 ,$341.12 
5/23/2018,$344.72 ,10021210,$329.04 ,$345.00 ,$328.09 
5/22/2018,$331.62 ,5916643,$334.05 ,$336.63 ,$331.15 
5/21/2018,$331.82 ,6596446,$327.11 ,$331.88 ,$325.45 
5/18/2018,$324.18 ,3574961,$324.90 ,$326.42 ,$322.80 
5/17/2018,$325.22 ,4927856,$327.53 ,$330.45 ,$323.17 
5/16/2018,$328.19 ,3664326,$326.28 ,$329.72 ,$325.14 
5/15/2018,$326.13 ,4739263,$325.94 ,$326.94 ,$322.43 
5/14/2018,$328.53 ,4086250,$327.25 ,$330.50 ,$327.04 
5/11/2018,$326.46 ,4584430,$329.65 ,$331.26 ,$324.87 
5/10/2018,$329.60 ,5232784,$331.50 ,$332.06 ,$327.34 
5/9/2018,$330.30 ,5623407,$328.79 ,$331.95 ,$327.51 
5/8/2018,$326.89 ,4694953,$325.90 ,$327.35 ,$323.05 
